timestamp,month,hour,rainfall_mm_hr,water_level_m,water_rise_rate,soil_moisture_pct,temperature_c,humidity_pct,flow_rate_m3s,turbidity_ntu,risk_level
2024-04-01 00:00:00,4,0,1.8,1.367,0.7493,49.1,21.8,61.0,5.5,25.2,NORMAL
2024-04-01 00:05:00,4,0,0.9,1.492,0.2314,48.7,20.5,63.7,5.93,30.0,NORMAL
2024-04-01 00:10:00,4,0,1.29,1.444,-0.0247,47.3,21.0,62.9,6.4,25.9,NORMAL
2024-04-01 00:15:00,4,0,1.6,1.484,-0.0817,47.6,20.4,65.8,4.94,22.2,NORMAL
2024-04-01 00:20:00,4,0,1.16,1.417,0.12,48.3,21.0,64.5,4.96,24.7,NORMAL
2024-04-01 00:25:00,4,0,1.13,1.524,0.0667,46.1,18.8,66.9,6.33,29.7,NORMAL
2024-04-01 00:30:00,4,0,0.89,1.439,-0.06,48.4,20.5,64.5,5.68,26.7,NORMAL
2024-04-01 00:35:00,4,0,0.8,1.504,0.3349,48.4,19.6,64.5,6.05,29.4,NORMAL
2024-04-01 00:40:00,4,0,1.89,1.551,0.4218,46.2,20.8,68.3,6.77,30.4,NORMAL
2024-04-01 00:45:00,4,0,1.9,1.644,0.1613,47.4,19.8,64.8,7.03,33.0,NORMAL
2024-04-01 00:50:00,4,0,1.25,1.605,0.0623,49.7,19.9,57.7,6.74,32.5,NORMAL
2024-04-01 00:55:00,4,0,0.96,1.665,0.0922,45.8,21.4,62.9,6.12,28.1,NORMAL
2024-04-01 01:00:00,4,1,0.96,1.635,-0.2484,50.4,20.2,66.1,6.68,28.9,NORMAL
2024-04-01 01:05:00,4,1,1.4,1.582,-0.1005,50.2,20.3,70.1,6.97,29.3,NORMAL
2024-04-01 01:10:00,4,1,1.89,1.602,0.3912,48.6,19.3,64.9,6.6,27.4,NORMAL
2024-04-01 01:15:00,4,1,1.84,1.713,0.104,49.5,20.0,64.8,8.33,29.9,NORMAL
2024-04-01 01:20:00,4,1,1.51,1.637,-0.2658,48.6,18.8,66.6,7.33,28.2,NORMAL
2024-04-01 01:25:00,4,1,1.26,1.624,0.0886,46.2,19.8,58.2,6.46,27.9,NORMAL
2024-04-01 01:30:00,4,1,0.79,1.666,0.3525,46.8,20.7,63.5,7.58,27.5,NORMAL
2024-04-01 01:35:00,4,1,0.84,1.742,0.1824,47.8,21.1,62.6,8.32,36.1,NORMAL
2024-04-01 01:40:00,4,1,1.89,1.727,0.3081,49.8,20.3,67.6,8.74,31.4,NORMAL
2024-04-01 01:45:00,4,1,1.22,1.844,0.3119,46.2,20.4,59.9,9.26,29.6,NORMAL
2024-04-01 01:50:00,4,1,0.75,1.831,-0.0199,50.8,21.2,65.4,9.0,32.9,NORMAL
2024-04-01 01:55:00,4,1,0.8,1.838,0.1197,45.5,20.6,65.0,9.9,35.0,NORMAL
2024-04-01 02:00:00,4,2,1.29,1.871,0.1001,48.6,20.5,62.6,9.24,37.1,NORMAL
2024-04-01 02:05:00,4,2,0.75,1.871,0.0157,49.9,21.2,62.6,8.51,31.6,NORMAL
2024-04-01 02:10:00,4,2,0.84,1.876,-0.2095,48.0,22.0,63.6,9.14,31.5,NORMAL
2024-04-01 02:15:00,4,2,1.15,1.801,0.054,49.0,19.3,67.1,9.05,31.6,NORMAL
2024-04-01 02:20:00,4,2,1.34,1.894,0.194,43.7,21.1,67.6,8.79,30.6,NORMAL
2024-04-01 02:25:00,4,2,1.28,1.866,-0.2473,48.8,20.1,70.9,9.33,31.7,NORMAL
2024-04-01 02:30:00,4,2,0.88,1.812,0.0065,46.3,20.7,61.4,8.12,26.4,NORMAL
2024-04-01 02:35:00,4,2,1.37,1.868,-0.1252,44.5,21.9,63.8,10.36,30.4,NORMAL
2024-04-01 02:40:00,4,2,0.89,1.77,-0.0133,46.8,21.5,58.8,8.37,28.7,NORMAL
